track,albumName,artist,releaseDate,isrc
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,2022-10-17,USAT22219211
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,USUM72013632
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,USUYG1156898
Rich Flex,Her Loss,Drake,2022-11-04,USUG12208598
Standing Next to You,GOLDEN,Jung Kook,2023-11-03,USA2P2348391
Congratulations,Congratulations,Post Malone,2016-11-04,USUM71614484
Do It To It,Do It To It,ACRAZE,2021-08-20,QZFPL2100100
Tusa,Tusa,KAROL G,2019-11-07,USUM71921183
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,USUM72013355
Good Good,Good Good,USHER,2023-08-04,QZS7J2331813
Austin,Austin - Single,Dasha,2023-11-17,QZTB92360479
Search & Rescue,Search & Rescue,Drake,2023-04-07,USUG12301601
TULUM,TULUM,Peso Pluma,2023-06-28,QM7282325573
Shivers,#NAME?,Ed Sheeran,2020-01-01,GBAHS2100671
Coup du marteau,Coup du marteau,Tam Sir,2023-12-08,DGA0Q2357844
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,2020-10-14,USA2P2036916
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,2022-04-28,SGB502213458
Sunroof,Sunroof,Nicky Youre,2021-12-03,USQX92202129
Watching Yourself Being Born,Neuroscape,Blush Response,2023-04-04,QZFZ72309552
Los del Espacio,Los del Espacio - Single,LIT killah,2023-06-01,USWL12300725
Taste (feat. Offset),Taste (feat. Offset),Tyga,2018-05-16,USUYG1198481
MAMIII,MAMIII,Becky G,2022-02-10,USRC12200425
Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,USUG12103651
exes,exes,Tate McRae,2023-11-17,USRC12302756
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,2019-08-16,QMRSZ1901446
Stick Season,Stick Season,Noah Kahan,2022-07-08,USUM72212470
Need To Know,Need To Know,Doja Cat,2021-06-11,USRC12101120
kompa pasiï¿½,kompa pasiï¿½,ýýýýýýýýýý,2024-04-12,USUS12400227
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,2022-10-20,MXF012200200
Last Last,Last Last,Burna Boy,2022-05-12,USAT22204901
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,2023-01-29,SGB502314277
500lbs,500lbs,Lil Tecca,2023-07-21,USUM72309854
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,USUG12104409
BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,SGB502248062
ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,2023-04-12,JPP302300157
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401990
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,2023-03-03,USUG12300821
Madonna,Madonna - Single,Natanael Cano,2024-03-08,QZ9QQ2400185
deja vu,deja vu,Olivia Rodrigo,2021-04-01,USUG12101240
6. A.M.,Motion is Emotion,Azul,2022-10-07,ES40B2200055
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2024-02-15,USUG12400966
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,2023-05-08,SGB502370315
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401993
Doja,Doja,Central Cee,2022-07-21,ZZOPM2237319
Kill This Love,Kill This Love,BLACKPINK,2019-04-04,KRA401900005
Lan,Lan - Single,Zeynep Bastï¿½,2024-03-08,TRAUR2400004
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,USUG12401967
Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,USAT21802011
Hey Mor,Hey Mor,Ozuna,2022-10-06,QMDA62203322
Ferrari,Ferrari,James Hype,2022-03-15,GB3CE2200004
Falling,Falling,Trevor Daniel,2018-10-05,USUYG1221109
positions,positions,Ariana Grande,2020-10-23,USUM72019412
Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,BEHP42100067
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402905
Save Your Tears,After Hours,The Weeknd,2020-03-20,USUG12000658
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,USUM72105936
This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,GBARL1600460
China,China,Anuel AA,2019-07-19,QM6P41952433
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,2013-01-01,USWD11366376
Moonlight,?,XXXTENTACION,2018-03-16,USUG11800209
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404993
Smart,EASY,LE SSERAFIM,2024-02-19,USA2P2402103
That's What I Like,24K Magic,Bruno Mars,2016-11-17,USAT21602948
Commando,Commando - Single,Mavokali,2022-09-28,QZTVM2210964
The Business,The Business,Tiï¿½ï¿,2020-09-16,CYA112000624
Ride It,Ride It,Regard,2019-07-26,GBCEN1900047
Mwaki,SURRENDER,Zerb,2023-09-27,NLRD52339318
BICHOTA,BICHOTA,KAROL G,2020-10-23,USUM72019324
Renklensin,Renklensin - Single,Reynmen,2024-04-19,FRX282477628
Bad idea,Missing,Kurochuu,2024-06-09,CA5KR2466578
writhe,writhe,daine,2023-02-21,AUWA02201495
The Hills,The Hills,The Weeknd,2015-05-27,USUG11500737
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,USA2P2330092
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401995
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,2024-06-06,QZQAY2414774
Te Felicito,Te Felicito,Shakira,2022-04-21,USQX92201764
Que Onda,Que Onda - Single,Calle 24,2023-08-30,USDXS2303230
Stumblin' In,Stumblin' In,CYRIL,2023-11-10,NLZ542301810
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1543926
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,2022-09-22,USSM12208809
Desesperados,VICE VERSA,Rauw Alejandro,2021-12-10,USSD12100779
"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,2024-01-10,UYB282401001
Sugar,V (Deluxe),Maroon 5,2014-08-29,USUM71410340
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,2024-03-18,QZLL92480334
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,2024-01-12,USUM72315072
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]","Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,2023-01-14,INY092300003
Old Town Road - Remix,Old Town Road,Lil Nas X,2019-04-05,USSM11902498
Let Me Love You,Encore,DJ Snake,2016-08-05,QMZSY1600015
Envolver,Envolver - Single,Anitta,2021-11-11,USWL12100576
Oublie-moi,Oublie-moi,Emkal,2022-09-16,FRDDV2200780
Malohat,Malohat,Xamdam Sobirov,2024-04-20,RUA1D2459522
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,USA2P2415975
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,2023-06-22,QM7282306253
you broke me first,you broke me first,Tate McRae,2020-04-17,USRC12000832
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,2017-06-16,USAT21701747
Beggin',Chosen,Mï¿½ï¿½ne,2017-12-08,ITB001700846
Faint,Papercuts,Linkin Park,2024-04-12,USWB12401896
Pretty - Sped Up,Pretty,MEYY,2023-06-07,FRD9M2300690
Hawï¿½,Hawï¿½,Maluma,2020-07-29,USSD12000190
LA FALDA,LA FALDA - Single,Myke Towers,2023-11-22,USWL12302952
act ii: date @ 8,act ii: date @ 8,4batz,2023-12-07,QZS7J2359132
Cradles,Cradles,Sub Urban,2019-01-04,GB2LD1800949
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-05-04,RUB421901499
Angel Numbers / Ten Toes,11:11,Chris Brown,2023-11-10,USRC12302900
Never Lose Me,Never Lose Me - Single,Flo Milli,2023-11-30,USRC12303379
Reggaeton Champagne,Kittyponeo,Bellakath,2023-10-05,BK4DA2319233
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,2024-03-08,QZES82406061
Under The Influence,Indigo (Extended),Chris Brown,2019-10-04,USRC11902743
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2020-07-17,USAT22007153
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402913
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,2023-11-27,KRA402300048
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,2024-05-23,QM6N22466972
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208787
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,USWB12201797
obsessed,GUTS (spilled),Olivia Rodrigo,2024-03-22,USUG12305564
Eyes Closed,Eyes Closed,Imagine Dragons,2024-04-03,USUM72402448
Wanna Be,Wanna Be (Alternate Versions),GloRilla,2024-04-03,USUM72403374
Don't Let Me Down,Pop Party,The Chainsmokers,2016-01-01,USQX91600011
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,2018-06-15,KRA401800096
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,2020-11-18,GBUM72005748
Wake Me Up,TRUE,Avicii,2013-01-01,SEUM71301326
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,2023-10-06,FR9W12347222
Chulo pt.2,Chulopt2,Bad Gyal,2023-06-22,USUM72305143
All Girls Are The Same,All Girls Are The Same,Juice WRLD,2018-04-13,USUG11800651
Push Up - Main Edit,Push Up - Single,Creeds,2023-03-31,DEE862300564
Kings & Queens,Kings & Queens,Ava Max,2020-03-12,USAT21906943
Adore You,Adore You,Harry Styles,2019-12-06,USSM11912588
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,USSM11904276
UNAVAILABLE (feat. Musa Keys),Timeless,Davido,2023-03-30,GBARL2300322
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402634
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Taki Taki,DJ Snake,2018-09-28,USUG11802029
"Chaleya (From ""Jawan"")","Chaleya (From ""Jawan"")",Anirudh Ravichander,2023-08-14,INS182302348
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,QZNMY2232113
ADIVINO,ADIVINO - Single,Myke Towers,2024-04-25,USWL12401327
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX,2024-04-18,BKF5C2400003
Cruel Summer,Lover,Taylor Swift,2019-08-23,USUG11901472
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402906
Breathe,2093,Yeat,2024-02-16,USUM72401623
Unforgettable,EPIC AF,French Montana,2017-01-01,USSM11703478
EASY,EASY,LE SSERAFIM,2024-02-19,USA2P2402101
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,2023-05-31,UYB282301034
Faded,Faded,Benjamin Richter,2017-07-28,DEE861701287
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,2024-05-10,US5TA2400074
ýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýý ýýýýýýýýýýýý,ALEX&RUS,2019-07-03,QM6N21999015
Move,Move - Single,Adam Port,2024-06-07,DEEC33501508
F.N,F.N,Lil Tjay,2019-08-09,USSM11904899
Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,DEE861600586
Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,USCJY1431309
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,2017-11-03,USUM71710831
HUMBLE.,HUMBLE.,Kendrick Lamar,2017-03-31,USUM71703085
Forget Me,Forget Me,Lewis Capaldi,2022-09-09,DEUM72204717
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,2022-08-12,FR9W12228852
Scared To Start,Scared To Start,Michael Marcagi,2024-01-12,USWB12400001
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,2022-08-12,USUM72215262
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,2023-03-10,GBARL2300300
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,2011-01-01,AUZS21100040
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2015-11-05,USAT21502909
Oh No,Cold As Ice,Kreepa,2019-12-13,USUYG1287925
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2019-02-07,USQX91900309
7 Years,Lukas Graham (Blue Album),Lukas Graham,2015-06-16,USWB11506516
Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,USWB12201213
AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2023-02-24,USUM72222552
"Happy - From ""Despicable Me 2""",538 Hitzone Best Of 2013,Pharrell Williams,2013-01-01,USQ4E1300686
I Wanna Party,I Wanna Party - Single,Drake,2024-05-31,QZYFZ2445017
Bailando Bachata,Bailando Bachata - Single,Chayanne,2023-05-25,USSD12201328
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,2023-12-06,QMFMF2394976
Treat You Better,Treat You Better,Shawn Mendes,2016-06-03,USUM71604711
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022-08-19,USUM72215366
Let Her Go,Let Her Go,Passenger,2012-07-27,GBMQN1200012
Fall Back,Fall Back / Selfish Game - Single,Lithe,2024-03-21,AUMEV2435468
Stressed Out,Stressed Out,Twenty One Pilots,2015-04-28,USAT21500597
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,2019-01-01,USAT22100017
All of Me,Love In The Future (South Africa Tour Edition),John Legend,2012-01-01,USSM11303954
2055,2055,Sleepy Hallow,2021-04-14,USRC12100442
Bandit,Bandit - Single,Don Toliver,2024-02-01,USAT22400561
Redbone,Redbone,Childish Gambino,2016-11-17,USYAH1600107
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,2024-03-08,USA2P2410436
"This Is The Thanks I Get?! - From ""Wish""","This Is The Thanks I Get?! (From ""Wish"")",Chris Pine,2023-10-25,USWD12328244
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitï¿½ï¿½n - La G,2021-11-19,USWD12112915
You Proof,You Proof,Morgan Wallen,2022-05-13,USUG12203266
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,2021-09-03,USUM72119916
Break My Heart,Break My Heart,Dua Lipa,2020-03-25,GBAHT1901303
Shut Down,BORN PINK,BLACKPINK,2022-09-16,KRA402200020
