Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,"275,349,653","37,806","22,826,643",70.0,"347,506,860","1,553,295","4,349,700","321,239,621","4,767,676,439","2,676,837,761",19.0,"23,875",96,37.0,"3,780,737",29.0,"5,101,044","5,276",,"1,245,874",,1
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155.9,"649,404,552","27,544","47,789,063",83.0,"433,839,212","2,750,086",,"414,833","10,603,563","1,795,939,912",29.0,"16,287",462,34.0,"16,509,806",26.0,"22,603,598","29,401",,"1,380,069",,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,"851,085,705","129,047","50,996,176",70.0,"211,810,152","2,461,166","3,502,547","955,272,568","8,781,020,473","806,434,641",162.0,"223,173","6,243",65.0,"8,655,684",130.0,"10,207,007","36,847","13,896,129","2,580,691",,1
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,"1,013,350,808","108,036","86,470,319",84.0,"390,677,417","2,521,214","402,338","97,819,766","887,803,828","560,893,301",154.0,"559,589",513,60.0,"2,707,900",61.0,"74,611,167","85,113","17,702,595","3,129,609",,1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,"359,803,580","26,065","79,152,427",86.0,"369,321,334","1,839,225","720,800","74,164,945","874,056,250","4,123,457,278",40.0,"16,952",69,63.0,"18,139,662",51.0,"20,058,510","7,289",,"1,002,835",,1
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152.8,"509,653,100","66,219","67,521,533",,"48,045,203","986,278","328,562","88,846,508","544,437,406","1,561,456,615",80.0,"400,206",14,78.0,"9,341,155",39.0,"23,110,274","19,559",,"4,295,361",,1
Prada,Prada,cassï¿,8/11/2023,GBCEN2300147,100,152.5,"609,699,748","128,498","160,755,092",83.0,"47,611,547","418,343","283,600","96,934,486","1,090,501,901","113,545,664",129.0,"123,242","1,570",167.0,"15,480,679",100.0,"1,210,830","1,073","25,956,265",,,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,152.3,"5,157,486",470,"2,924,720",,"1,278,618","27,849","1,100,000","261,000","3,900,000",,3.0,,,2.0,"39,366",,,,,"47,658",,0
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,"242,070,373","37,170","74,130,983",76.0,"22,907,992","261,664","2,553,106","312,997,953","3,832,221,658","15,593,731",106.0,"370,635","5,999",69.0,"1,792,014",79.0,"84,425,715","30,713","670,026","2,219,984",,0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,"478,150,858","73,306","51,842,133",78.0,"113,379,734","1,312,763","1,700,998","182,319,546","2,111,289,492","90,954,700",78.0,"35,330",39,56.0,"15,784,760",53.0,"17,823,388","12,664","4,374,049","2,255,465",,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150.5,"61,382,407","7,240","1,708,319",43.0,"9,977,490","201,210","37,726,462","9,239,474","147,837,262",,15.0,"10,152",,5.0,"59,317",1.0,,,,"3,819,161",,0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,GBBKS2300080,105,150.4,"460,156,070","163,449","127,827,271",77.0,"8,183,226","98,257","530,103","65,920,648","1,032,799,567","56,004,473",,"195,140",,102.0,"3,034,022",111.0,"1,132,923","1,312","9,451,176","9,279,625",,0
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,"251,153,869","16,811","92,985,554",76.0,"66,691,067","961,957","102,884","34,572,688","431,390,500","2,120,552,147",162.0,"180,711",57,127.0,"33,540,073",116.0,"10,305,245","3,796","776,717","2,047,771",,0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148.1,"205,206,688","28,064","84,737,651",84.0,"39,453,253","672,789",,,,"232,440,923",99.0,"3,432",45,41.0,"2,943,724",47.0,"5,897,303","4,527","7,571,301","900,933",,1
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,KRA302400093,108,147.4,"32,942,304","1,262","26,204,483",74.0,"57,861,795","1,257,935",,,,"29,510,774",37.0,290,6,5.0,"530,831",33.0,"21,869",48,"139,164","29,736",,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,"1,911,559,785","317,345","87,765,033",78.0,"441,257,231","4,829,633","4,930,490","561,201,008","4,574,447,121","2,077,511",255.0,"296,948",181,138.0,"555,650",28.0,"295,741,432","633,414","168,458,097","11,988,760",,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145.3,"2,014,959,725","354,831","87,942,438",70.0,"1,003,346,208","16,856,186","1,750,366","915,814,897","9,558,947,943","3,191,316,960",360.0,"245,228",925,109.0,"3,242,122",74.0,"75,167,268","96,430",,"12,693,846",,1
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144.6,"168,145,583","27,654","159,737,263",85.0,"35,008,949","717,214",,,,"39,149,568",107.0,"4,448",,158.0,"16,345,999",54.0,"39,577",482,"3,634,381","2,408,838",,0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,"518,988,585","73,116","58,391,498",80.0,"107,703,759","768,813","354,036","74,258,021","924,204,888","103,658,014",117.0,"673,629",59,67.0,"8,306,302",104.0,"184,924,061","88,890","728,039","3,108,167",,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,JPU902305042,113,144.0,"247,399,972","22,222","13,870,528",80.0,"389,540,239","4,392,933",,"22,950,364","296,522,040","1,041,035,733",53.0,807,,18.0,"357,941",17.0,"537,267","1,928",,"1,069,500",,0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144.0,"5,712,985","2,311","535,908",44.0,"3,120,073","56,276","20,114,495","2,452,502,310","33,870,791,454",,4.0,22,,4.0,"1,397",1.0,"21,564",81,,"249,823",,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,"3,358,704,125","392,082","123,917,182",79.0,"2,763,188,773","19,410,390","2,714,134","178,829,434","1,597,453,878","484,189,798",351.0,"273,683",,86.0,"809,352",99.0,"546,367,356","906,813",,"1,569,935",,0
Hands,Hands,Dianï¿½,8/1/2022,GBKPL2205333,115,143.9,"126,914",8,212,1.0,"2,435,813,922","7,208,467",33,188,"6,415","26,630,093",,658,,,,,,,,295,,0
Saturn,Saturn - Single,SZA,2/24/2024,USRC12400216,117,142.8,"343,090,427","21,104","154,253,718",87.0,"38,173,339","349,660",,,,"196,380,893",120.0,"158,378",360,103.0,"10,995,523",87.0,"11,441,987","7,496","166,254","745,798",,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,BXT622400190,118,142.4,,,,,"39,323,383","44,223",,,,,,,,,,,,,,,,0
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,"3,006,226,762","335,880","89,243,475",81.0,"4,495,059,988","42,240,881","5,745,117","453,132,709","5,876,458,723","276,194,776",226.0,"253,782",388,118.0,"1,138,425",71.0,"614,578,695","844,301","2,943,611","21,306,706",,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141.0,"787,155,930","183,850","58,397,185",77.0,"357,772,653","2,590,835","931,660","95,662,104","836,550,889","3,934,416,606",150.0,"463,665","1,308",32.0,"399,388",69.0,"182,315,884","53,326","48,937,045","3,534,164",,1
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,"532,605,345","128,534","31,725,858",81.0,"97,958,347","1,237,197","322,900","108,595,670","947,194,801","259,363,238",46.0,"107,637",57,33.0,"1,423,258",40.0,"6,334,599","8,712","12,785,993","1,861,958",,1
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139.0,"292,789,738","28,591","30,905,957",72.0,"406,307,035","809,942","1,900,606","68,341,852","872,862,858","1,969,191,415",11.0,"1,754",,15.0,"8,391,160",1.0,"764,473","5,168",,"1,195,337",,1
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,"818,858,244","223,609","49,586,777",71.0,"231,229,581","2,756,840","1,610,614","624,748,318","6,890,780,336","3,849,170,813",148.0,"666,615","4,406",37.0,"759,989",77.0,"117,451,442","40,907","24,111,168","4,244,972",,1
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137.8,"659,010,786","129,923","93,969,186",86.0,"125,203,447","1,990,342","22,100","13,787,343","107,398,826","244,390,161",87.0,"37,314",361,46.0,"2,137,898",38.0,"3,029,375","6,510","14,942,955","1,839,283",,1
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,USUG12301493,125,137.7,"3,913,988",545,"1,054,122",40.0,"1,577,017,938","9,304,666",,,,"2,651,764,724",,25,,,,,"5,260",,,,,1
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,CA5KR2465999,126,136.4,"126,247,886",5,"5,973",1.0,,,,,,,,,,,,,,,,,,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,USUM72206227,127,136.2,"1,607,421,145","212,406","160,444,270",83.0,"409,785,349","3,326,477","247,865","155,593,087","1,825,552,705","2,563,240,162",267.0,"523,907","3,418",111.0,"4,754,372",75.0,"152,770,142","49,622",,"9,091,826",,0
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305253,128,136.2,"438,796,949","23,959","34,805,394",78.0,"509,727,241","2,202,866","1,223,804","46,080,266","782,582,119","1,337,889,706",56.0,"60,758",959,29.0,"3,457,921",38.0,"38,214,505","9,932","62,622","865,444",,0
Drained of Color,Drained of Color,Exhumed,8/30/2022,US2642250302,129,134.0,"158,627",635,"18,765",16.0,"2,156,140,830",,9,422,"4,484","1,318,392",,29,,,,,"1,132",,,208,,0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,USQX92003025,130,133.0,"1,867,736,006","302,486","82,611,625",76.0,"747,126,783","10,795,292","2,467,227","160,756,733","1,768,836,179","2,069,527,154",329.0,"931,316","1,897",273.0,"3,821,598",85.0,"240,562,062","131,540","40,756,476","10,228,436",,1
Dynamite,Dynamite,BTS,8/21/2020,QM7282022872,131,132.3,"1,872,577,908","144,619","51,186,002",74.0,"2,638,957,320","62,311,179","3,098,499","662,794,945","5,063,720,138","2,199,001,119",323.0,"351,169",198,355.0,"1,888,088",98.0,,,,"7,896,781",,0
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,GXBAV2381801,132,130.7,"8,327",3,8,,,,"4,200,000","3,646,489","73,318,253",,,,,,,,,,,522,,0
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,"3,427,498,835","338,763","160,553,919",82.0,"2,153,701,892","20,891,433","1,940,473","212,007,614","2,161,032,034","2,333,853,734",408.0,"600,211",381,502.0,"4,834,088",110.0,"427,212,257","357,540",,"29,266,297",,0
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129.6,"230,849,195","23,091","12,233,221",64.0,"363,082,908","5,135,848","4,897,595","104,580,759","1,551,501,289","150,614,267",49.0,"24,103",214,25.0,"319,914",33.0,"23,525,446","4,705",,"623,446",,0
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,"720,720,922","74,295","89,509,926",77.0,"221,078,988","2,557,839","4,687,520","1,252,326,407","15,247,253,457","718,932,832",108.0,"412,680","5,869",43.0,"1,491,347",59.0,"81,828,913","36,462",,"3,086,624",,0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,QZMEQ2306756,136,129.4,"1,378,494",351,"43,395",34.0,"1,022,331","22,739","7,702,832","90,289,248","1,272,592,848",,,,,,,,,,,"50,550",,0
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,INS182401602,137,129.1,"2,827,545",62,"1,433,870",,"54,330,074","801,621",,,,,,,,,,10.0,,,,"5,620",,0
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097","90,793","87,801,398",18.0,"113,450,524","2,108,657","394,640","152,624,014","1,448,207,880","1,111,017,294",173.0,"161,513",93,61.0,"5,239,925",128.0,"28,318,435","67,590","4,296,515","4,872,257",,1
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,BCAEW2400001,139,128.5,"37,157,630","2,052","30,387,641",74.0,"63,418,833","427,441","1,600,000","853,176","8,850,449","149,589,609",11.0,190,,32.0,"8,460,458",11.0,,,,"42,895",,0
Back,Back,LOLA,8/3/2022,UKQNV2100272,140,128.0,"48,428",92,"15,747",3.0,"2,123,978,358","5,670,850",111,"102,828","735,317",,,46,,,,,,,,,,0
People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,"631,955,547","121,823","45,030,006",74.0,"305,998,382","2,647,341","3,168,854","243,797,561","3,233,505,931","704,906,130",145.0,"122,781",202,74.0,"1,217,657",54.0,"9,017,480","11,289","8,026,553","6,121,126",,1
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,ATR981312465,142,127.4,,1,47,,,,"3,528,100","37,591,836","688,302,023",,,,,,,,,,,,,1
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,TCAIA2495220,143,127.3,"94,635,338","10,537","11,716,074",,"944,314","17,943","1,300,000","182,937,084","1,542,242,100",,13.0,,2,,,8.0,"684,557","1,079",,"1,597,467",,1
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,UKWLG2400013,144,126.9,"114,574,238","10,564","180,987,712",84.0,"9,134,225","124,326","299,000","4,419,373","79,796,400","3,117,914",87.0,"86,814",159,128.0,"35,099,280",133.0,"4,503,872",442,"422,718",,,0
Abc,Abc,J Ross,2/14/2023,CLLU22300585,145,126.6,"31,867",5,"5,100",1.0,"1,538,564,650","2,066,653",,,,,,174,,,,,,,,"1,178",,0
La Bachata,La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,"1,721,045,197","156,941","97,122,096",81.0,"798,827,877","3,379,928","1,614,275","209,367,923","2,596,777,974","420,585,933",142.0,"152,522","1,161",97.0,"8,709,032",133.0,"47,203,290","19,769",,"4,817,885",,0
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,FRX282306294,147,125.4,"8,028,757","1,972","488,653",44.0,"48,533,758","399,664","8,800,000","256,186,613","3,985,974,550","6,879,573",1.0,373,,,,,,,,"220,198",,0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,USUM72102636,148,125.2,"1,612,286,123","282,719","97,390,961",74.0,"1,019,256,266","10,280,320","1,404,274","502,778,982","4,702,037,810","2,889,452,237",348.0,"569,287",789,342.0,"2,587,713",90.0,"92,111,798","90,598",,"7,848,760",,1
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124.6,"2,607,121,959","270,230","143,953,432",78.0,"1,201,600,884","10,239,198","4,725,570","414,013,363","3,535,661,993","2,374,637,534",581.0,"999,941",954,632.0,"4,254,903",118.0,"313,923,242","99,949",,"13,421,701",,0
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,"2,548,389,305","339,306","75,858,140",78.0,"987,143,411","9,384,427","1,900,813","44,442,433","338,071,383","274,498,079",153.0,"69,562",132,54.0,"442,640",36.0,"259,400,789","552,552","257,459,352","9,308,937",,1
PROVENZA,PROVENZA,KAROL G,4/22/2022,USUM72205906,151,123.8,"1,185,929,926","103,026","64,847,502",76.0,"1,229,843,060","5,870,729","1,300,337","251,445,963","2,829,294,043","763,687,717",115.0,"130,158",688,75.0,"7,349,218",90.0,"92,136,339","29,371",,"3,397,861",,0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,USAT22005111,152,123.4,"1,325,725,696","171,255","53,040,559",72.0,"1,329,826,741","15,965,491","8,470,921","1,183,499,351","9,539,547,626","181,452,145",222.0,"91,249",306,94.0,"249,116",50.0,"184,950,173","397,731",,"4,618,794",,1
SPOT!,SPOT!,ZICO,4/26/2024,USA2P2421932,153,122.8,"77,757,035","3,407","35,428,519",81.0,"100,148,771","2,531,168","99,900","46,645,177","366,905,484","24,981,456",27.0,"1,861",51,2.0,"151,901",20.0,"63,300",98,,"173,263",,0
Family Matters,Family Matters,Drake,5/3/2024,USUG12402984,154,122.7,"72,335,127","8,696","36,774,031",86.0,"41,492,122","1,034,563",,,,"166,330,702",38.0,"1,488",,16.0,"1,504,365",60.0,"3,065,493","2,302","2,401,049","283,217",,1
Again,Missing,Kurochuu,6/9/2024,CA5KR2466577,155,122.5,"136,237,285",2,"2,190",2.0,,,,,,,,,,,,,,,,,,0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,USA2P2330093,156,122.4,"1,673,557,134","54,950","91,343,768",80.0,"397,523,735","10,125,293","341,522","114,990,786","761,760,624","1,800,517,153",86.0,"23,714",861,54.0,"5,286,388",56.0,"6,442,882","4,352",,"2,310,409",,1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79.0,"141,852,059","567,295","285,414","61,112,010","811,685,466","182,412,108",106.0,"18,364","1,846",7.0,"33,712",38.0,"307,115,852","200,650","13,022,144","2,665,347",,1
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,IEACJ2300335,158,121.2,"532,012,790","22,396","130,752,527",85.0,"13,119,247","218,957",,,,,235.0,"6,952",,85.0,"25,307,005",108.0,,,"119,813","2,580,089",,0
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100318,159,120.8,"1,754,311,538","271,758","62,218,811",74.0,"958,790,883","7,686,994","1,036,355","225,139,300","2,658,904,267","3,526,952,174",454.0,"1,347,725","1,035",352.0,"7,318,680",136.0,"269,834,154","88,143","17,144,484","15,886,717",,0
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305257,160,120.7,"850,810,162","56,104","79,334,561",82.0,"258,553,384","1,174,349","1,167,300","58,820,722","717,259,721","590,681,204",72.0,"39,951",4,57.0,"7,146,260",83.0,"32,210,732","12,492",,"1,537,093",,1
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,USAT22100906,161,120.1,"1,312,168,384","248,793","50,068,571",75.0,"993,324,548","9,537,455","1,503,567","369,280,607","3,350,704,343","2,421,128,623",308.0,"557,867",309,120.0,"1,553,392",103.0,"149,304,590","91,366",,"10,288,388",,0
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,JPKI02118106,162,119.5,"548,408",130,"20,518",24.0,"1,356,336","17,701","18,000,000","334,009,036","7,041,708,832",,1.0,,,,,,,,,"69,763",,0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101245,163,117.8,"2,167,768,056","309,421","72,787,213",79.0,"773,591,065","11,098,007","1,893,481","1,080,682,523","8,186,754,429","2,285,796,743",355.0,"4,835","1,283",98.0,"1,610,293",102.0,"119,030,447","170,032","19,263,268",,,1
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,USUM71900764,164,117.7,"2,516,804,300","296,739","113,315,017",76.0,"1,779,243,626","26,239,833","3,774,645","177,247,662","1,409,756,969","2,066,888,119",432.0,"353,076","1,024",258.0,"3,123,258",174.0,"229,833,113","534,958",,"18,994,040",,0
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,USUM71911283,165,117.6,"2,738,293,818","251,033","108,433,327",74.0,"2,372,399,124","26,919,886","5,815,851","140,938,643","1,859,977,153","2,305,437,038",380.0,"531,893",378,570.0,"2,693,006",89.0,"337,815,285","426,555",,"15,254,141",,0
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,USSM12207207,166,116.9,"1,003,487,432","126,402","88,024,543",73.0,"621,874,255","2,859,234","2,409,247","476,447,290","6,208,638,113","672,233,681",152.0,"175,614","1,077",105.0,"6,388,819",97.0,"40,988,020","6,129",,"3,205,234",,1
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,USUM72007941,167,116.7,"1,638,836,101","272,933","50,425,049",70.0,"1,170,441,361","13,667,470","5,241,838","364,560,431","3,869,815,694","201,859,518",216.0,"298,661",62,98.0,"1,699,879",47.0,"245,618,280","272,002",,"7,646,337",,1
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,"372,423,476","44,730","21,933,393",71.0,"131,308,671","1,074,684","1,102,985","38,959,591","830,123,390","961,201,576",132.0,"644,972",287,32.0,"1,018,314",68.0,"40,613,139","6,969",,"2,886,987",,0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,USWB12304903,169,116.5,"630,373,315","70,400","105,320,547",84.0,"50,938,569","246,731","215,433","70,110,809","586,454,750","207,483,261",95.0,"83,414",35,47.0,"9,094,602",112.0,"147,144,967","33,058","5,597,165","1,673,932",,0
Circles,Circles,Post Malone,8/30/2019,USUM71915699,170,116.0,"2,481,391,466","332,437","124,491,320",80.0,"1,116,323,669","8,490,012","83,111","26,892,604","273,522,601","841,624,305",355.0,"1,015,731",413,311.0,"1,603,280",69.0,"448,494,186","212,174",,"13,634,519",,0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,DGA062382895,171,115.9,"474,590,289","24,891","25,915,889",78.0,"577,930,708","1,569,516","136,500","32,754,141","509,287,649","1,484,713,132",27.0,"15,783",215,22.0,"2,762,020",27.0,"44,676,754","9,094","774,895","1,173,817",,0
About Damn Time,About Damn Time,Lizzo,4/14/2022,USAT22202139,172,115.6,"847,025,688","104,052","47,808,065",66.0,"106,024,874","1,080,393","3,030,761","1,522,267,606","15,665,483,220","22,274,346",215.0,"1,024,138","2,826",143.0,"1,456,203",4.0,,,,"5,445,721",,1
Closer,Closer,The Chainsmokers,7/29/2016,USQX91601347,173,114.6,"2,880,536,961","285,381","129,399,627",80.0,"4,086,121,880","22,091,228","1,103,074","100,536,756","514,053,404","467,800,052",385.0,"316,965",467,284.0,"838,570",78.0,"819,509,308","739,296",,"16,185,008",,0
FLOWER,ME,JISOO,3/31/2023,KRA402300002,174,114.3,"440,364,356","26,107","15,314,737",70.0,"525,156,884","10,820,829","3,411,209","550,993,898","6,724,997,940","68,869,541",33.0,"11,830",92,6.0,"26,844",35.0,"1,335,366","3,263",,"1,058,579",,0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364199,175,114.2,"689,181,455","61,138","90,492,257",83.0,"183,381,482","738,123","213,300","49,332,435","487,440,417","546,833,520",67.0,"32,507",175,51.0,"13,729,294",44.0,"14,039,085","3,684","2,473,108","930,098",,1
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,USUG12306085,176,113.2,"372,248,119","68,037","44,498,005",,"86,580,734","1,106,306","77,600","20,713,030","128,182,068","384,403,788",53.0,"44,112",31,13.0,"481,832",39.0,"19,029,194","36,347","9,898,507","2,131,059",,1
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,USSM11706905,177,112.8,"2,072,182,782","194,332","86,159,672",75.0,"3,952,909,529","32,333,846","1,314,091","53,911,465","546,650,805","2,137,655,536",342.0,"175,317",563,541.0,"1,593,590",95.0,"455,553,499","772,600",,"16,095,913",,0
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,USUM72318216,178,112.6,"606,124,553","40,628","139,802,900",86.0,"166,363,445","1,019,744","14,519","5,128,004","29,601,244","476,273,095",80.0,"51,631",170,64.0,"14,011,480",31.0,"1,550,124","1,179",,"1,704,574",,0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,USUM72208023,179,112.5,"827,950,825","118,965","64,661,540",73.0,"299,001,099","2,751,490","172,228","118,133,115","1,359,837,461","3,624,466,116",83.0,"761,996","2,175",43.0,"3,276,564",70.0,"150,508,004","31,988","6,459,716","3,384,275",,1
Bones,Bones,Imagine Dragons,3/11/2022,USUM72201759,180,112.0,"1,227,475,431","180,053","70,861,210",78.0,"584,854,654","6,691,488","341,199","191,133,207","2,255,843,288","3,064,084,870",94.0,"305,868","1,789",47.0,"1,718,874",67.0,"124,506,820","66,190",,"7,031,981",,0
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,USSD12300400,182,111.8,"571,366,508","32,236","42,828,677",79.0,"475,200,526","1,369,288",,,,"1,602,673,476",50.0,"38,691",423,60.0,"10,199,675",29.0,"35,912,217","8,715","46,646","1,703,294",,1
Selfish,Selfish,Justin Timberlake,1/25/2024,USRC12400001,181,111.8,"92,932,220","8,847","31,258,778",,"42,581,931","513,055",,,,"1,607,922,581",73.0,"232,736",18,75.0,"12,673,906",43.0,"28,794,637","6,080","64,503","1,440,935",,0
golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,"1,126,986,320","200,887","45,885,823",73.0,"293,553,015","5,388,022","461,623","313,934,124","2,305,840,359","2,451,087,344",77.0,"148,360",719,22.0,"379,311",35.0,"32,611,885","64,225","14,112,455","3,897,680",,0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,GBAHT2000942,184,111.3,"2,074,721,986","255,296","109,442,317",77.0,"1,665,434,424","15,432,964","858,364","324,510,578","2,649,555,956","4,124,133,645",388.0,"476,547",659,250.0,"2,098,761",46.0,"188,728,577","98,317",,"7,948,325",,0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111.1,"89,362,910","7,377","70,714,216",84.0,"37,676,729","525,264","361,700","71,058,620","476,545,000","126,493,852",52.0,"52,534",976,4.0,"57,534",58.0,"10,234,988","14,251","2,263,132","514,293",,1
